type,date,symbol,currentPrice,open,previousClose,dayLow,dayHigh,recommendation,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,totalRevenue,revenuePerShare,totalDebt,debtToEquity,totalCash,totalCashPerShare,ebitda,earningsGrowth,revenueGrowth,price_change,average_price,price_to_average_ratio,rolling_mean,rolling_std,cumulative_return
Stock,2024-06-03 16:17:15.963766,AAPL,194.62,192.98,192.25,192.53,194.81,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,,194.62477916666668,0.999975444202495,,,0.0
Stock,2024-06-03 16:17:30.061927,AAPL,194.64,192.98,192.25,192.53,194.81,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,0.010276436131939626,194.62477916666668,1.0000782060403535,,,0.00010276436131939626
Stock,2024-06-03 16:17:42.053786,AAPL,194.585,192.98,192.25,192.53,194.81,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,-0.028257295519917847,194.62477916666668,0.9997956109862424,,,-0.00017983763230910998
Stock,2024-06-03 16:17:53.919984,AAPL,194.6,192.98,192.25,192.53,194.81,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,0.00770871341573276,194.62477916666668,0.9998726823646362,,,-0.00010276436131950728
Stock,2024-06-03 16:18:05.630727,AAPL,194.69,192.98,192.25,192.53,194.81,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,0.0462487153134683,194.62477916666668,1.0003351106350002,,,0.00035967526461821997
Stock,2024-06-03 16:18:17.462808,AAPL,194.67,192.98,192.25,192.53,194.81,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,-0.010272741281014408,194.62477916666668,1.0002323487971414,,,0.00025691090329860167
Stock,2024-06-03 16:18:29.219220,AAPL,194.72,192.98,192.25,192.53,194.81,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,0.025684491703925616,194.62477916666668,1.0004892533917882,194.64642857142857,0.04922010816341828,0.0005138218065974254
Stock,2024-06-03 16:18:40.958805,AAPL,194.84,192.98,192.25,192.53,194.84,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,0.06162695152014397,194.62477916666668,1.0011058244189401,194.67785714285716,0.08601633288980291,0.001130407974514469
Stock,2024-06-03 16:18:52.652279,AAPL,194.86,192.98,192.25,192.53,194.87,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,0.010264832683226643,194.62477916666668,1.0012085862567988,194.7092857142857,0.10740998446096514,0.0012331723358340874
Stock,2024-06-03 16:19:05.242592,AAPL,194.86,192.98,192.25,192.53,194.87,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,0.0,194.62477916666668,1.0012085862567988,194.74857142857144,0.10463087043324613,0.0012331723358340874
Stock,2024-06-03 16:19:17.395636,AAPL,194.91,192.98,192.25,192.53,194.92,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,0.025659447808679126,194.62477916666668,1.0014654908514453,194.79285714285717,0.09655987533032621,0.001490083239132689
Stock,2024-06-03 16:38:36.017465,AAPL,194.26,192.98,192.25,192.53,194.99,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,-0.3334872505258879,194.62477916666668,0.9981257311210392,194.73142857142855,0.22467966614928325,-0.00184975850375102
Stock,2024-06-03 16:38:50.491604,AAPL,194.26,192.98,192.25,192.53,194.99,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,0.0,194.62477916666668,0.9981257311210392,194.67285714285714,0.28790706172388053,-0.00184975850375102
Stock,2024-06-03 16:39:02.761479,AAPL,194.235,192.98,192.25,192.53,194.99,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,-0.01286935035518244,194.62477916666668,0.997997278823716,194.60357142857146,0.3299585111004394,-0.00197821395540021
Stock,2024-06-03 16:39:14.806088,AAPL,194.18,192.98,192.25,192.53,194.99,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,-0.02831621489433056,194.62477916666668,0.9977146837696047,194.5092857142857,0.3450897053838363,-0.002260815949028827
Stock,2024-06-03 16:39:27.931328,AAPL,194.1965,192.98,192.25,192.53,194.99,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043,0.008497270573681881,194.62477916666668,0.997799462285838,194.41450000000003,0.32312678110404547,-0.002176035350940353
