type,date,symbol,currentPrice,open,previousClose,dayLow,dayHigh,recommendation,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,totalRevenue,revenuePerShare,totalDebt,debtToEquity,totalCash,totalCashPerShare,ebitda,earningsGrowth,revenueGrowth
Stock,2024-06-03T16:17:15.963766,AAPL,194.62,192.98,192.25,192.53,194.81,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043
Stock,2024-06-03T16:17:16.121708,MSFT,414.0563,415.58,415.13,412.69,416.41,buy,552.6,401.56,445.15,439.62,1.7,236583993344,31.834,106228998144,41.963,80013000704,10.766,125182001152,0.2,0.17
Stock,2024-06-03T16:17:16.274787,AMZN,176.79,177.53,176.44,175.97,178.7,buy,460.5,165.78,209.16,202.62,1.7,590739996672,57.133,160560005120,74.107,85074001920,8.175,96609001472,2.167,0.125
Stock,2024-06-03T16:17:16.431551,GOOGL,172.37,172.55,172.5,172.03,174.52,buy,207.22,105.69,176.68,184.2,1.9,318145986560,25.374,28376000512,9.69,108089999360,8.747,109723000832,0.609,0.154
Stock,2024-06-03T16:17:16.641800,META,474.5413,470.87,466.83,468.24,476.66,buy,546.15,239.46,472.46,478.92,1.8,142711996416,55.671,37632999424,25.168,58119999488,22.913,68446998528,1.141,0.273
Stock,2024-06-03T16:17:16.849979,TSLA,179.6,178.35,178.08,177.25,182.6389,hold,294.72,21.05,164.83,163.48,2.8,94745001984,29.803,9911000064,15.206,26862999552,8.423,12264999936,-0.534,-0.087
Stock,2024-06-03T16:17:17.001229,BRK-A,185.1,625735.0,627400.0,185.1,626164.25,buy,734820.0,660000.0,697410.0,697410.0,2.5,368958013440,255402.66,122753998848,21.246,188992995328,131537.44,107046002688,-0.638,0.052
Stock,2024-06-03T16:17:17.154943,JNJ,148.39,147.25,146.67,146.825,148.725,buy,198.01,142.75,158.56,156.57,2.3,85647998976,34.477,33632000000,48.032,26218000384,10.894,30613000192,No Data,0.023
Stock,2024-06-03T16:17:17.310838,JPM,201.495,202.31,202.63,201.08,202.42,buy,230.0,157.7,208.05,213.5,2.0,150000992256,51.308,840650981376,No Data,1626683998208,566.46,No Data,0.083,0.111
Stock,2024-06-03T16:17:17.467261,NVDA,1134.5898,1135.89,1096.33,1130.2,1143.84,buy,1289.4,440.61,1050.13,1105.2,1.8,79773999104,32.336,10990999552,22.366,31438000128,12.769,49274998784,6.293,2.621
Stock,2024-06-03T16:17:17.620519,V,270.465,273.09,272.46,270.43,273.13,buy,313.14,244.06,285.85,285.97,1.9,34140999680,16.876,20603000832,50.89,17703000064,8.85,23942000640,0.124,0.099
Stock,2024-06-03T16:17:17.833864,UNH,497.025,494.13,495.37,493.87,498.68,buy,675.0,460.0,570.92,569.5,1.8,379486994432,410.145,73637003264,75.979,32710000640,35.539,35001999360,No Data,0.086
Stock,2024-06-03T16:17:17.987354,HD,330.8,333.65,334.87,329.538,333.65,buy,391.43,276.3,351.08,359.19,2.3,151830003712,152.785,52005998592,2857.473,4264000000,4.3,24508000256,-0.05,-0.023
Stock,2024-06-03T16:17:18.148311,PG,165.89,163.93,164.54,163.69,166.065,buy,168.54,143.68,158.25,160.25,2.1,84059996160,35.616,31982000128,63.541,6828000256,2.893,24217999360,0.106,0.006
Stock,2024-06-03T16:17:18.307761,MA,441.215,443.48,447.07,441.195,444.955,buy,566.41,390.69,471.91,473.46,1.8,25698000896,27.367,15628999680,213.862,7656999936,8.237,15752999936,0.304,0.104
Stock,2024-06-03T16:17:18.470221,PYPL,63.13,63.03,62.99,62.58,63.33,buy,110.52,55.26,70.36,69.49,2.4,30429999104,28.001,11658000384,56.313,14318000128,13.688,5658999808,0.186,0.094
Stock,2024-06-03T16:17:18.629451,DIS,102.9875,104.17,103.91,102.56,104.22,buy,133.54,60.79,114.89,119.73,2.1,89202999296,48.718,46299000832,44.62,6634999808,3.64,16149999616,No Data,0.012
Stock,2024-06-03T16:17:19.651822,BAC,39.805,40.04,39.99,39.645,40.19,buy,42.37,32.14,36.85,36.36,2.4,93358997504,11.664,727036002304,No Data,830731976704,106.227,No Data,-0.194,-0.033
Stock,2024-06-03T16:17:19.818569,TSM,154.56,155.12,151.04,153.6601,157.15,buy,183.0,113.0,151.97,159.59,1.6,2245747015680,54.131874,1009472962560,27.538,1922656108544,74.138,1511090421760,0.09,0.165
Stock,2024-06-03T16:17:19.975087,CMCSA,39.655,39.98,40.03,39.45,40.07,buy,57.0,40.0,47.71,48.0,2.3,121939001344,30.036,96572997632,115.945,6514999808,1.66,37586001920,0.066,0.012
Stock,2024-06-03T16:17:30.061927,AAPL,194.64,192.98,192.25,192.53,194.81,buy,253.28,151.04,188.42,185.52,2.1,381623009280,24.537,104590000128,140.968,67150000128,4.379,129629003776,0.007,-0.043
Stock,2024-06-03T16:17:30.145161,MSFT,414.31,415.58,415.13,412.69,416.41,buy,552.6,401.56,445.15,439.62,1.7,236583993344,31.834,106228998144,41.963,80013000704,10.766,125182001152,0.2,0.17
Stock,2024-06-03T16:17:30.233824,AMZN,176.83,177.53,176.44,175.97,178.7,buy,460.5,165.78,209.16,202.62,1.7,590739996672,57.133,160560005120,74.107,85074001920,8.175,96609001472,2.167,0.125
Stock,2024-06-03T16:17:30.335942,GOOGL,172.4,172.55,172.5,172.03,174.52,buy,207.22,105.69,176.68,184.2,1.9,318145986560,25.374,28376000512,9.69,108089999360,8.747,109723000832,0.609,0.154
Stock,2024-06-03T16:17:30.418041,META,474.735,470.87,466.83,468.24,476.66,buy,546.15,239.46,472.46,478.92,1.8,142711996416,55.671,37632999424,25.168,58119999488,22.913,68446998528,1.141,0.273
